cedula,periodo_nomina,salario_basico,auxilio_transporte,horas_extra,valor_horas_extra,bonificaciones,comisiones,descuentos,salud,pension,neto_pagado
1000000001,2026-08-30,2500000,249095,2,397827,151836,306955,220184,119081,119298,2424618
1000000002,2026-08-30,3000000,249095,11,27663,108940,167280,142202,173105,160219,4462443
1000000003,2026-08-30,1600000,200000,15,51991,265517,675510,349652,99065,141629,4483241
1000000004,2026-08-30,5000000,249095,18,188751,385777,595468,237027,168092,146040,2428479
1000000005,2026-08-30,3000000,200000,4,366326,551638,698646,118324,134693,108016,2559599
1000000006,2026-08-30,2500000,0,13,162049,549639,637144,322710,106962,103960,4142887
1000000007,2026-08-30,2500000,200000,4,94704,337497,414568,197775,108295,113591,3985195
1000000008,2026-08-30,2500000,0,14,49115,207869,186141,289336,93807,183333,2834679
1000000009,2026-08-30,3000000,200000,16,353151,65953,634736,263206,237504,194821,1566203
1000000010,2026-08-30,4200000,249095,13,219295,500328,538685,84076,248152,116395,4502740
1000000011,2026-08-30,2500000,249095,19,191962,3267,178031,89780,212396,209695,1660775
1000000012,2026-08-30,3500000,0,4,197459,82745,119180,152617,171267,233772,4655065
1000000013,2026-08-30,3000000,0,11,149143,157164,66234,21689,246981,114620,4167867
1000000014,2026-08-30,5000000,0,15,190347,535626,564242,273318,99870,208148,3063299
1000000015,2026-08-30,2500000,200000,15,465585,131484,178352,9348,245650,100559,4969401
1000000016,2026-08-30,3500000,200000,20,11938,531831,79459,38102,106790,173396,3961319
1000000017,2026-08-30,4200000,0,6,428411,60692,409995,74460,198874,101732,4992537
1000000018,2026-08-30,2200000,249095,3,353824,220156,195004,89930,105289,171362,5275803
1000000019,2026-08-30,4200000,200000,0,4000,223992,466152,6801,95485,241426,4284433
1000000020,2026-08-30,5000000,200000,4,201660,516771,725256,103150,124482,93843,2844027
1000000021,2026-08-30,2500000,200000,9,363186,563044,59163,203339,166188,194065,4017723
1000000022,2026-08-30,5000000,0,4,355754,543176,475853,179208,84748,151726,4772744
1000000023,2026-08-30,3000000,0,3,251492,114352,51934,154697,220507,97640,2291267
1000000024,2026-08-30,1800000,0,1,365835,85999,720255,213945,83709,132528,5190175
1000000025,2026-08-30,2500000,0,19,499522,17955,425523,231915,203961,118413,1997562
1000000026,2026-08-30,1800000,0,9,491072,70640,454137,203664,110355,132638,5348693
1000000027,2026-08-30,3500000,249095,18,38304,196582,5486,208124,224188,190133,1883934
1000000028,2026-08-30,2200000,249095,0,331593,400573,139407,1542,236542,186357,3504168
1000000029,2026-08-30,1600000,0,4,82986,425695,650308,283821,122918,230159,1817428
1000000030,2026-08-30,5000000,200000,12,482859,61476,627083,177804,132224,235576,2867763
