cedula,area,cargo,antiguedad_meses,evaluacion_desempeno,capacitaciones,horas_capacitacion,ausencias_dias,incapacidades_dias,satisfaccion_laboral,horas_semanales,ascensos,amonestaciones,horas_trabajadas_mes
1000000001,Marketing,Analista,54,4.39,2,20,14,8,4,40,3,0,164
1000000002,Operaciones,Analista,32,2.62,0,4,7,6,2,40,0,1,174
1000000003,Marketing,Desarrollador,47,3.17,4,41,5,4,2,44,2,0,166
1000000004,Marketing,Administrador,31,2.56,3,60,13,9,3,44,0,2,215
1000000005,Administracion,Asistente,21,3.75,7,21,9,6,3,44,0,0,202
1000000006,RRHH,Analista,34,3.69,0,20,11,8,5,48,0,0,200
1000000007,Marketing,Contador,52,4.58,0,69,6,0,5,40,0,1,188
1000000008,Administracion,Auxiliar,56,3.27,3,0,13,6,1,40,2,1,200
1000000009,Finanzas,Diseñador,27,4.54,7,4,7,5,1,48,2,2,219
1000000010,RRHH,Analista,60,4.92,4,11,1,9,5,40,3,0,155
1000000011,Marketing,Contador,66,2.72,1,45,12,8,5,44,1,0,216
1000000012,Tecnologia,Contador,8,4.48,5,33,9,0,4,44,2,0,156
1000000013,Finanzas,Diseñador,42,3.97,4,48,13,3,3,44,2,2,200
1000000014,Finanzas,Asistente,56,3.7,1,77,10,8,1,40,1,2,221
1000000015,Administracion,Contador,12,3.55,2,44,7,3,3,44,2,1,191
1000000016,Finanzas,Auxiliar,26,4.46,8,26,2,9,3,48,0,1,213
1000000017,RRHH,Contador,43,4.1,6,72,6,2,5,48,0,1,164
1000000018,Marketing,Contador,44,4.51,6,25,2,8,4,40,1,0,178
1000000019,Marketing,Contador,23,4.76,5,46,14,1,2,48,3,0,182
1000000020,Tecnologia,Soporte,9,4.04,7,55,6,3,4,48,3,1,176
1000000021,Administracion,Soporte,30,4.95,3,62,13,5,4,40,1,0,185
1000000022,Tecnologia,Asistente,19,4.02,7,47,10,1,3,44,1,1,178
1000000023,Finanzas,Analista,55,4.09,3,60,14,7,4,44,0,2,187
1000000024,Tecnologia,Contador,14,3.89,7,25,11,7,1,44,3,1,206
1000000025,RRHH,Administrador,31,2.73,8,35,12,0,3,40,2,2,176
1000000026,Marketing,Analista,58,4.32,2,0,1,2,1,48,0,0,204
1000000027,Finanzas,Asistente,68,3.87,2,7,9,9,2,44,1,1,182
1000000028,Tecnologia,Coordinador,60,3.63,1,51,5,8,3,44,3,0,217
1000000029,Administracion,Analista,44,4.78,2,78,2,4,2,40,2,2,215
1000000030,RRHH,Analista,40,3.24,2,46,2,5,3,44,2,2,159
